"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"CBHLands";"12158";"None";"0";"CBHLands";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3933930763401965";"13491";"12158";"1";"777676339027439_3933930763401965";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-31T03:01:52+0000";"2021-07-31T03:01:55+0000";"මධ්‍යම අධිවේගී මාර්ගය  පිවිසුම් 5-6 ක් කුරුණෑගල දිස්ත්‍රික්කයේ දැනටමත් සංවර්ධනය වෙමින් පවතී.   1. නාකලගමුව පිවිසුම- නාරම්මල ප්‍රදේශයට පැමිණේ. (මීගමු-කුරුණෑගල මාර්ගයට එක් වෙන ලෙස)  2. පොතුහැර පිවිසුම - පොතුහැර ප්‍රදේශයට පැමිණේ. (කොළඹ -කුරුණෑගල මාර්ගයට එක් වෙන ලෙස). මෙම පිවිසුමෙන් මහනුවර අධිවේගී මාර්ගය ඉදිවේ.  3. දම්බොක්ක පිවිසුම- දම්බොක්ක ප්‍රදේශයට පැමිණේ. (කොළඹ-කුරුණෑගල මාර්ගයට එක් වෙන ලෙස)  4. කුරුණෑගල ප්‍රධාන පිවිසුම- තෙලියගොන්න ප්‍රදේශයට පැමිණේ. (කුරුණෑගල- නුවර මාර්ගයට එක් වෙන ලෙස)  5. මැල්සිරිපුර පිවිසුම - මැල්සිරිපුර ප්‍රදේශයට පැමිණේ. (කුරුණෑගල- දඹුල්ල මාර්ගයට එක් වෙන ලෙස)  6. රිදීගම පිවිසුම - රිදීගම ප්‍රදේශයට පැමිණේ. . . . #highway #CentralExpressway #kurunegala #kurunegalalandsale #kurunegalarealestate #property #kurunegalaproperty #cbhlands #puttlam #colombo #dambulla #kandy #colombo #realestate #property #landsale";"";"1";"6";"6";"0";"0";"0";"0";"0";"777676339027439_3933930763401965"
"CBHLands/777676339027439_3933930763401965/777676339027439_3933930763401965";"13768";"13491";"2";"777676339027439_3933930763401965";"empty";"";"fetched (200)";"2022-08-01 22:57:25.893576";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3933930763401965/777676339027439_3933930763401965";"14157";"13491";"2";"777676339027439_3933930763401965";"empty";"";"fetched (200)";"2022-08-01 23:00:53.576357";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3933965486731826";"13492";"12158";"1";"777676339027439_3933965486731826";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-30T02:57:00+0000";"2021-07-30T02:57:03+0000";"ඔබ දන්නවාද ? ශ්‍රී ලංකා දළ දේශීය අදායමට දෙවැනි ස්ථානයට දායක වන්නේ කුරුණෑගල බව? . . . #kurunegala #narammala #srilanka #beautiful #landscape #paddy #highway #centralexpressway #nakalagamuwa #cbhlands";"";"0";"16";"15";"1";"0";"0";"0";"0";"777676339027439_3933965486731826"
"CBHLands/777676339027439_3933965486731826/777676339027439_3933965486731826";"13769";"13492";"2";"777676339027439_3933965486731826";"empty";"";"fetched (200)";"2022-08-01 22:57:26.389202";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3933965486731826/777676339027439_3933965486731826";"14158";"13492";"2";"777676339027439_3933965486731826";"empty";"";"fetched (200)";"2022-08-01 23:00:54.124402";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3933916626736712";"13493";"12158";"1";"777676339027439_3933916626736712";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-29T02:54:38+0000";"2021-07-29T02:54:42+0000";"CBH Lands සමාගමෙන් විකිණෙන ඉඩම්:  1. සියළු රාජ්‍ය අනුමැති සහිතය්. 2. නිර්දේශයන්ට අනුකූලව ජලය සපයා දී ඇත. 3. ලංකා විදුලිබල මණ්ඩලයට අනුකූලව විදුලිය සපයා දී ඇත. 4. නිර්දේශයන්ට අනුකූලව මාර්ග, කණු පද්ධති සහ යටිතල පහසුකම් සකසා ඇත.  එම නිසා CBH Lands වෙතින්  ඔබට නිරවුල් ඔප්පු සහිත, අවශ්‍ය විටෙක බැංකු ණය සඳහා යොදා ගත හැකි ඉඩම් කොටසක් ලැබෙන බවට අප සහතික වන්නෙමු.  කුරුණෑගල  ප්‍රධාන මාර්ග 5ක් + අධිවේගී මාර්ග සහිත සංධිස්ථානයක්! මීගමු පාර  කොළඹ පාර  දඹුල්ල පාර  පුත්තලම පාර  නුවර පාර   මධ්‍යම අධිවේගී මාර්ගය   . . . #centralexpressway #highway #kurunegala #government #approved #water #electricity #ceb #kurunegalalandsale #kurunegalarealestate #realestate #property #cbhlands";"1";"0";"12";"12";"0";"0";"0";"0";"0";"777676339027439_3933916626736712"
"CBHLands/777676339027439_3933916626736712/777676339027439_3933916626736712";"13770";"13493";"2";"777676339027439_3933916626736712";"empty";"";"fetched (200)";"2022-08-01 22:57:26.958838";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3933916626736712/777676339027439_3933916626736712";"14159";"13493";"2";"777676339027439_3933916626736712";"empty";"";"fetched (200)";"2022-08-01 23:00:54.521060";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
