"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"blueoceansl";"12159";"None";"0";"blueoceansl";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5760649597323577";"12160";"12159";"1";"144005052321421_5760649597323577";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-31T04:58:53+0000";"2021-07-31T04:58:53+0000";"We are a diversified group of companies with each member playing a significant role in achieving our group vision & mission.  Call us on +94 777 546 546 / visit www.blueocean.lk for further details.";"5";"0";"7";"7";"0";"0";"0";"0";"0";"144005052321421_5760649597323577"
"blueoceansl/144005052321421_5760649597323577/144005052321421_5760649597323577";"12493";"12160";"2";"144005052321421_5760649597323577";"empty";"";"fetched (200)";"2022-08-01 22:40:25.734947";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5760649597323577/144005052321421_5760649597323577";"12873";"12160";"2";"144005052321421_5760649597323577";"empty";"";"fetched (200)";"2022-08-01 22:43:27.008751";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5758828450839025";"12161";"12159";"1";"144005052321421_5758828450839025";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-30T14:04:39+0000";"2021-07-30T14:04:39+0000";"Our dedicated engineers and other staff with the support of fellow member company Link Readymix (Pvt) Ltd did concreting for the 3rd residential floor at one of our most prestigious projects, No. 15 A Layards Road, Colombo 4.   Call us on +94 777 546 546 / visit www.blueocean.lk for further details.";"3";"0";"3";"3";"0";"0";"0";"0";"0";"144005052321421_5758828450839025"
"blueoceansl/144005052321421_5758828450839025/144005052321421_5758828450839025";"12494";"12161";"2";"144005052321421_5758828450839025";"empty";"";"fetched (200)";"2022-08-01 22:40:26.230688";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5758828450839025/144005052321421_5758828450839025";"12874";"12161";"2";"144005052321421_5758828450839025";"empty";"";"fetched (200)";"2022-08-01 22:43:27.588339";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5758355847552952";"12162";"12159";"1";"144005052321421_5758355847552952";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-30T10:36:26+0000";"2021-07-30T10:36:26+0000";"Our Chairman Mr Thumilan Sivarajah talks on how the Group surged through the economic situation and achieved positive growth that contributes to the government's vision.   Call us on +94 777 546 546 / visit www.blueocean.lk for further details.    Link : https://epaper.dailynews.lk/Home/ShareArticle?OrgId=572b5fee&imageview=0";"1";"0";"13";"13";"0";"0";"0";"0";"0";"144005052321421_5758355847552952"
"blueoceansl/144005052321421_5758355847552952/144005052321421_5758355847552952";"12495";"12162";"2";"144005052321421_5758355847552952";"empty";"";"fetched (200)";"2022-08-01 22:40:26.842685";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5758355847552952/144005052321421_5758355847552952";"12875";"12162";"2";"144005052321421_5758355847552952";"empty";"";"fetched (200)";"2022-08-01 22:43:28.195740";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5757771387611398";"12163";"12159";"1";"144005052321421_5757771387611398";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-30T05:16:46+0000";"2021-07-30T05:16:46+0000";"Don't stress yourself for apartment maintenance. Our member company, Blue Ocean Facilities Management (Pvt) Ltd is always ready to take that stress for you. We provide quality services to maintain your apartment.   Call us on +94 777 729 555 / visit www.bofm.lk for further details.   #FacilitiesManagement #BlueOceanGroup #BOFM";"3";"0";"6";"5";"1";"0";"0";"0";"0";"144005052321421_5757771387611398"
"blueoceansl/144005052321421_5757771387611398/144005052321421_5757771387611398";"12496";"12163";"2";"144005052321421_5757771387611398";"empty";"";"fetched (200)";"2022-08-01 22:40:27.456522";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5757771387611398/144005052321421_5757771387611398";"12876";"12163";"2";"144005052321421_5757771387611398";"empty";"";"fetched (200)";"2022-08-01 22:43:28.697527";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5752653778123159";"12164";"12159";"1";"144005052321421_5752653778123159";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-28T11:24:40+0000";"2021-07-28T11:24:40+0000";"Make your Journey memorable with Blue Ocean Travels (Pvt) Ltd.   Call us on +94 777 873 893 / visit www.botravels.com for further details.   #Travel #TravelDestinations #VacationMode #BlueOceanGroup #BlueOceanTravels";"3";"0";"6";"6";"0";"0";"0";"0";"0";"144005052321421_5752653778123159"
"blueoceansl/144005052321421_5752653778123159/144005052321421_5752653778123159";"12497";"12164";"2";"144005052321421_5752653778123159";"empty";"";"fetched (200)";"2022-08-01 22:40:27.966892";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5752653778123159/144005052321421_5752653778123159";"12877";"12164";"2";"144005052321421_5752653778123159";"empty";"";"fetched (200)";"2022-08-01 22:43:29.325733";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5752056934849510";"12165";"12159";"1";"144005052321421_5752056934849510";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-28T06:11:33+0000";"2021-07-28T06:11:33+0000";"Pay today, live tomorrow...   Call us at +94 777 546 546 / visit www.blueocean.lk for further details.   #LuxuryApartments #LuxuryLiving #InvestmentProperties #HolidayHomes #BlueOceanGroup";"6";"0";"8";"7";"1";"0";"0";"0";"0";"144005052321421_5752056934849510"
"blueoceansl/144005052321421_5752056934849510/144005052321421_5752056934849510";"12498";"12165";"2";"144005052321421_5752056934849510";"empty";"";"fetched (200)";"2022-08-01 22:40:28.504828";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5752056934849510/112071641150874_117628533928518";"12878";"12165";"2";"112071641150874_117628533928518";"data";"data.*";"fetched (200)";"2022-08-01 22:43:29.836620";"Facebook:/<post-id>/sharedposts";"";"";"2021-07-28T08:27:03+0000";"";"";"";"";"";"";"";"";"";"";"";"112071641150874_117628533928518"
"blueoceansl/144005052321421_5752056934849510/144005052321421_5752056934849510";"12879";"12165";"2";"144005052321421_5752056934849510";"offcut";"";"fetched (200)";"2022-08-01 22:43:29.836620";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5749740621747808";"12166";"12159";"1";"144005052321421_5749740621747808";"data";"data.*";"fetched (200)";"2022-08-01 22:36:50.786944";"Facebook:/<page-id>/posts";"144005052321421";"Blue Ocean Group";"2021-07-27T11:18:27+0000";"2021-07-27T11:18:27+0000";"Providing the best locations that matter to you.   Call us on +94 777 546 546/ visit www.blueocean.lk for further details.   #LuxuryApartments #LuxuryLiving #InvestmentProperties #HolidayHomes #BlueOceanGroup";"4";"0";"9";"9";"0";"0";"0";"0";"0";"144005052321421_5749740621747808"
"blueoceansl/144005052321421_5749740621747808/144005052321421_5749740621747808";"12499";"12166";"2";"144005052321421_5749740621747808";"empty";"";"fetched (200)";"2022-08-01 22:40:28.994503";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"blueoceansl/144005052321421_5749740621747808/144005052321421_5749740621747808";"12880";"12166";"2";"144005052321421_5749740621747808";"empty";"";"fetched (200)";"2022-08-01 22:43:30.550996";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
