"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"HLSkyLine.LK";"9434";"None";"0";"HLSkyLine.LK";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095";"9435";"9434";"1";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:11:16.389448";"Facebook:/<page-id>/posts";"828739300530904";"Home Lands Skyline Private Limited";"2021-07-23T11:47:00+0000";"2021-07-27T21:42:38+0000";"අපි කවුරුත් දුකේදි හැමෝන්ටම උදව් කරන ජාතියක් . දුකේදි හිත උණු වන ජාතියක්. අපි මේ අමාරු කාලයෙත් අපි හැමෝම පුලුවන් විදියට එකිනෙකාට උදව් කරා. අපිත් ඒ දේම රටක් වෙනුවෙන් රුධිර බැංකුවට උදව් කරන්න කරන්න අපේ Homelands සහ Homelands skyline අපේ පව්ලත් පෙල ගැහුනා.";"51";"8";"639";"511";"115";"3";"1";"4";"5";"828739300530904_5837423556329095"
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"9730";"9435";"2";"828739300530904_5837423556329095";"empty";"";"fetched (200)";"2022-08-01 21:15:29.873026";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10020";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-24T10:48:59+0000";"";"Hari mama dennam  kohetada ennna one b+ onenam kitayanna mana ennam dila masa6 nea";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10021";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-27T21:42:38+0000";"";"Budusaranai";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10022";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-27T21:41:43+0000";"";"Budusaranai";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10023";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-27T18:00:42+0000";"";"good";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10024";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-27T05:55:13+0000";"";"Happy. Birthday.    ";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10025";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-26T16:45:51+0000";"";"";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5837423556329095/828739300530904_5837423556329095";"10026";"9435";"2";"828739300530904_5837423556329095";"data";"data.*";"fetched (200)";"2022-08-01 21:19:18.854652";"Facebook:/<post-id>/comments";"";"";"2021-07-24T16:23:46+0000";"";"mawatamipin";"";"";"";"";"";"";"";"";"";""
"HLSkyLine.LK/828739300530904_5830866740318110";"9436";"9434";"1";"828739300530904_5830866740318110";"data";"data.*";"fetched (200)";"2022-08-01 21:11:16.389448";"Facebook:/<page-id>/posts";"828739300530904";"Home Lands Skyline Private Limited";"2021-07-22T23:30:10+0000";"2021-07-22T23:30:13+0000";"උතුම් වූ ඇසළ පුර පසලොස්වක පොහෝ දිනය අදයි  ලෝකවාසී බෞද්ධ සැමට ධර්මාලොකයෙන් සිත් ආලෝකමත්වන  පින්බර පොහෝ දිනයක් වේවා!!";"1";"0";"26";"26";"0";"0";"0";"0";"0";"828739300530904_5830866740318110"
"HLSkyLine.LK/828739300530904_5830866740318110/828739300530904_5830866740318110";"9731";"9436";"2";"828739300530904_5830866740318110";"empty";"";"fetched (200)";"2022-08-01 21:15:30.995397";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
