"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"RameshgayanFernando";"11613";"None";"0";"RameshgayanFernando";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_4218352164951175";"11614";"11613";"1";"2129348240518255_4218352164951175";"data";"data.*";"fetched (200)";"2022-08-01 22:18:40.984888";"Facebook:/<page-id>/posts";"2129348240518255";"Houses&Land.lk";"2021-07-29T08:14:06+0000";"2021-07-29T13:08:01+0000";"PENTHOUSE IN HAVELOCK CITY COLOMBO 5 SRI LANKA  HOUSES&LAND.LK  A City within a City  Set in 18 acres with the 7 acres of rolling Greenery at Havelock City give you the unique chance to keep up a healthy outdoor lifestyle in the city. The only space of its kind in Colombo, keep fit in open-air exercise corners, or on the jogging and walking tracks.  Details of the Unit  Floor Area – 4,370 SqFt Floor Level – 21st Floor (City View and Sea View)  04 Bedroom 04 Bathroom Fully Furnished Servant quarter private balcony (more than 800 Sq Ft)  Common Amenities  Club House / Shopping Mall / Swimming Pool / Gym / Squash Courts Garden Area / Garden Chess / Children’s Play Area / Golf Putting Green / Walkaway  Price LKR 175M (Nego)  Book your appointment for inspection Call Us +94752264558 Email - housesandlandlk1@gmail.com  #luxuryapartmenthomes  #forsale  #colombo #SriLanka  #residentialproperty #apartment  #investmentproperty #house #property #dreamhomegoals #living #investinyourself #valueinvesting  #dontmissout #homegoals #luxurylife  #bestpropertiesinsrilanka  #housesandlandlk";"4";"1";"73";"69";"3";"0";"1";"0";"0";"2129348240518255_4218352164951175"
"RameshgayanFernando/2129348240518255_4218352164951175/2129348240518255_4218352164951175";"11663";"11614";"2";"2129348240518255_4218352164951175";"data";"data.*";"fetched (200)";"2022-08-01 22:22:03.339039";"Facebook:/<post-id>/comments";"";"";"2021-07-29T13:08:01+0000";"";"More dtails pls.";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_4218352164951175/2129348240518255_4218352164951175";"12111";"11614";"2";"2129348240518255_4218352164951175";"empty";"";"fetched (200)";"2022-08-01 22:23:05.905915";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_4722466881206365";"11620";"11613";"1";"2129348240518255_4722466881206365";"data";"data.*";"fetched (200)";"2022-08-01 22:20:09.734414";"Facebook:/<page-id>/posts";"2129348240518255";"Houses&Land.lk";"2021-12-31T23:41:51+0000";"2022-01-01T00:14:09+0000";"Happy new year everyone…!  #HappyNewYear #everyone #newyear2022 #housesandlandlk";"";"0";"7";"7";"0";"0";"0";"0";"0";"2129348240518255_4722466881206365"
"RameshgayanFernando/2129348240518255_4722466881206365/2129348240518255_4722466881206365";"11664";"11620";"2";"2129348240518255_4722466881206365";"empty";"";"fetched (200)";"2022-08-01 22:22:03.876454";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_4722466881206365/2129348240518255_4722466881206365";"12112";"11620";"2";"2129348240518255_4722466881206365";"empty";"";"fetched (200)";"2022-08-01 22:23:06.940977";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_4716819558437764";"11621";"11613";"1";"2129348240518255_4716819558437764";"data";"data.*";"fetched (200)";"2022-08-01 22:20:09.734414";"Facebook:/<page-id>/posts";"2129348240518255";"Houses&Land.lk";"2021-12-30T06:04:29+0000";"2022-01-18T16:14:03+0000";"LUXURY HOUSE THALAWATHUGODA - COLOMBO - SRI LANKA  HOUSES&LAND.LK  Residential area house located  28.5perche 3800sqft  20ft Acces road  4 - bedrooms (A/c) 3 - bathrooms 2 - living hall 4 - car parking  Large garden space Servant room  driver room, Well maintenance house & much more....  More information & book your appointment for inspection contact Us Email : housesandlandlk1@gmail.com Whatsapp / Viber / Message : +94 752264558  Price LKR 140M  #House #forsale #thalawathugoda #colombo #SriLanka  #residentialproperty #Living #dreamhome #investmentproperty  #property #dreamhomegoals  #investinyourself #valueinvesting #dontmissout #homegoals  #bestpropertiesinsrilanka  #housesandlandlk";"61";"4";"68";"64";"4";"0";"0";"0";"0";"2129348240518255_4716819558437764"
"RameshgayanFernando/2129348240518255_4716819558437764/2129348240518255_4716819558437764";"11665";"11621";"2";"2129348240518255_4716819558437764";"data";"data.*";"fetched (200)";"2022-08-01 22:22:04.406379";"Facebook:/<post-id>/comments";"";"";"2021-12-31T13:35:01+0000";"";"Price please";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_4716819558437764/2129348240518255_4716819558437764";"11666";"11621";"2";"2129348240518255_4716819558437764";"data";"data.*";"fetched (200)";"2022-08-01 22:22:04.406379";"Facebook:/<post-id>/comments";"";"";"2022-01-18T16:14:03+0000";"";"Price";"";"";"";"";"";"";"";"";"";""
