"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"CBHLands";"12158";"None";"0";"CBHLands";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3432484473546599";"14511";"12158";"1";"777676339027439_3432484473546599";"data";"data.*";"fetched (200)";"2022-08-05 14:51:12.309528";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-01-30T03:30:13+0000";"2021-01-30T03:30:15+0000";"Hope you are enjoying the weekend.  If you have visited our properties by now, and if you liked what you saw... Make and offer :)  We are open today. 076 999 0002 . . . . . #lmao #letsmakeanoffer #offer #realetstate #weekend #saturday #enjoy #invest #money #cbhlands #ceylonbrandhouse #srilanka";"";"0";"5";"5";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3432484473546599/777676339027439_3432484473546599";"40494";"14511";"2";"777676339027439_3432484473546599";"empty";"";"fetched (200)";"2022-08-05 15:38:11.797290";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3419147784880268";"14512";"12158";"1";"777676339027439_3419147784880268";"data";"data.*";"fetched (200)";"2022-08-05 14:51:12.309528";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-01-27T02:30:00+0000";"2021-01-28T06:13:42+0000";"";"2";"3";"14";"14";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3419147784880268/777676339027439_3419147784880268";"40495";"14512";"2";"777676339027439_3419147784880268";"data";"data.*";"fetched (200)";"2022-08-05 15:38:12.328138";"Facebook:/<post-id>/comments";"";"";"2021-01-28T06:13:42+0000";"";"kurunegala town dura";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3419147784880268/777676339027439_3419147784880268";"40496";"14512";"2";"777676339027439_3419147784880268";"data";"data.*";"fetched (200)";"2022-08-05 15:38:12.328138";"Facebook:/<post-id>/comments";"";"";"2021-01-27T06:48:10+0000";"";"Mulika gvim kiyada";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3413641298764250";"14513";"12158";"1";"777676339027439_3413641298764250";"data";"data.*";"fetched (200)";"2022-08-05 14:51:12.309528";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-01-26T02:30:26+0000";"2021-01-26T02:30:28+0000";"";"";"0";"2";"2";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3413641298764250/777676339027439_3413641298764250";"40497";"14513";"2";"777676339027439_3413641298764250";"empty";"";"fetched (200)";"2022-08-05 15:38:12.939356";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3411079652353748";"14514";"12158";"1";"777676339027439_3411079652353748";"data";"data.*";"fetched (200)";"2022-08-05 14:51:12.309528";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-01-25T02:33:45+0000";"2021-01-25T02:33:47+0000";"කුරුණෑගල අධිවේගී මාර්ගය කඩිනමින් ඉදිවෙමින් පවතියි. ආයෝජනයට සූදානම්ද? . . . 076 999 0002 076 999 0007 . . . #kurunegalahighway #kurunegala #kurunegalalands #kurunegalalandsale #kurunegalaproperty #kurunegalarealestate #cbhlands #ceylonbrandhouse #landsale #investinland #invest #bankloan #buyland #highway";"";"0";"3";"3";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3411079652353748/777676339027439_3411079652353748";"40498";"14514";"2";"777676339027439_3411079652353748";"empty";"";"fetched (200)";"2022-08-05 15:38:13.345358";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3411051552356558";"14515";"12158";"1";"777676339027439_3411051552356558";"data";"data.*";"fetched (200)";"2022-08-05 14:51:12.309528";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-01-24T03:30:01+0000";"2021-01-24T03:30:06+0000";"කුරුණෑගල අධිවේගී මාර්ගය කඩිනමින් ඉදිවෙමින් පවතියි. ආයෝජනයට සූදානම්ද?";"1";"1";"8";"7";"1";"0";"0";"0";"0"
"CBHLands/777676339027439_3411051552356558/777676339027439_3411051552356558";"40499";"14515";"2";"777676339027439_3411051552356558";"empty";"";"fetched (200)";"2022-08-05 15:38:13.787208";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3411019925693054";"14516";"12158";"1";"777676339027439_3411019925693054";"data";"data.*";"fetched (200)";"2022-08-05 14:51:12.309528";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-01-23T03:00:01+0000";"2021-01-28T06:05:01+0000";"Mega City Minhettiya, #Kurunegala  Directly faces the main carpeted Gonagama-Thiththawella road. 1.6 km to Minhettiya 10 km to Pellandeniya 17 km Kurunegala Town Central 18 km to Kurunegala Highway exit   Clean #Deeds /Title: Verified by Pan Asia Bank, NSB, People’s Bank, Sanasa, RDB and Commercial Bank Sri Lanka.  #Water project developed by CBH Lands; Overhead water tank built according to Water Board regulations. #Electricity enabled. 30 Feet wide internal road facing blocks available. All government approvals obtained.   Easy payment installments available.  #Bank Loans: Please ask us how you can apply for a loan from your bank to purchase these lots. Right now (Jan 2020) Housing Loans are as low as 7%.";"1";"1";"5";"5";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3411019925693054/777676339027439_3411019925693054";"40500";"14516";"2";"777676339027439_3411019925693054";"data";"data.*";"fetched (200)";"2022-08-05 15:38:14.370620";"Facebook:/<post-id>/comments";"";"";"2021-01-28T06:05:01+0000";"";"how much & where";"";"";"";"";"";"";"";"";""
