"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"RameshgayanFernando";"11613";"None";"0";"RameshgayanFernando";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767";"14551";"11613";"1";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 14:51:19.182612";"Facebook:/<page-id>/posts";"2129348240518255";"Houses&Land.lk";"2021-01-25T07:50:25+0000";"2022-02-19T11:47:33+0000";"SUPER LUXURY HOUSE PELAWATTA COLOMBO SRI LANKA  FOR SALE  HOUSES&LAND.LK  Email Address housesandlandlk1@gmail.com  Bedrooms - 07 ( A/C)  Bathrooms - 08   (All bed rooms consists of attached bathrooms & balconies.   - One room has access to differently abled with a built in pantry)  Land Extent - 30 Perches Floor area - 9000 Sq Ft  - Maid's quarters - Floors in tiles & Parquet ( Teak & American OAK) - Landscaped Garden - Solar power ( Electricity & Water) - 50Ft swimming pool - Separate access for differently abled ( Access to house & pool) - Driver's quarters  - Back up generator - Elevator  - All doors & windows are done out of Jack wood - Fully fitted pantry with granite top & a kitchen island (Hafelè)  - Wet kitchen separate for bar - Teak Bar counter - Separate sitting area which opens up to the garden - Luxury bathroom fittings - Gabled ceilings - Roller shutter  - Parking for 08 vehicles inside the premises  - CCTV camera and security system  * Price Upon Request *  More Details Call Us +94752264558  #superluxury #House #pelawatta  #Colombo #Srilanka #bestplace  #bestprice #realestateinvesting  #luxuryliving #home #investinyourself  #bestpropertiesinsrilanka  #housesandlandlk";"18";"32";"85";"73";"12";"0";"0";"0";"0"
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41186";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-11-20T02:27:46+0000";"";"Can i know the more details with price";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41187";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-11-20T02:55:50+0000";"";"Price pls";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41188";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-11-20T10:14:28+0000";"";"Price pls";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41189";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-11-20T00:53:04+0000";"";"Inbox price please";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41190";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-11-20T07:38:18+0000";"";"Pp";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41191";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-01-25T14:12:41+0000";"";"Can you send me more details with the price point please ";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41192";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2022-02-19T11:47:33+0000";"";"How much ?";"";"";"";"";"";"";"";"";""
"RameshgayanFernando/2129348240518255_3692799630839767/2129348240518255_3692799630839767";"41193";"14551";"2";"2129348240518255_3692799630839767";"data";"data.*";"fetched (200)";"2022-08-05 15:44:29.437752";"Facebook:/<post-id>/comments";"";"";"2021-01-25T09:33:38+0000";"";"Price?";"";"";"";"";"";"";"";"";""
