post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
828739300530904_4946374175434042,Home Lands,2021-01-30T00:30:01+0000,2021-01-30T00:30:04+0000,Great Location Premium Living Porshia Skyline Residencies - Nawala Ready for Occupation Call Us Now 071 5 238 238  Features _ Two Elevators _ Secured & Covered Parking And Service Facilities _ Roof Top Garden _ Roof Top BBQ Pavilion _ Infinity Swimming Pool _ Fully Equipped Modern Gym _ Multi-Function Hall _ 24 Hour Security With CCTV Cameras _ Fully Backup Generator  Interest Free Payment Plan Price Starting From 25M Loan Facility Can Be Arranged Up To 70% More Details - 071 5 238 238 www.homelandsskyline.lk,1,0,3,3,0,0,0,0,0
828739300530904_4994956197242506,Home Lands,2021-01-29T02:42:42+0000,2021-01-29T02:42:42+0000,"Enjoy looking across the Colombo skyline while you relax at our rooftop garden or take a dip in the rooftop infinity pool. When you invest in a location like this you invest in absolute convenience, luxury and elegance with Aurum Skyline Residencies, Jawatta  Within the leading school circle of Colombo. Model Apartment Ready For Your Inspection. Call us for more details – 071 5 238 238  2,3BR apartment with maid's room _ Royal Collage 1.5KM _ Visaka Vidyalaya 0.9KM _ Sirimavo Bandaranayake Vidyalaya 0.5KM _ Wycherley international 1KM _ The British School 1.8KM   Reservation Fee: Rs. 1M, Bank loan facility can be arranged  For more details 071 5 238 238",2,1,33,32,1,0,0,0,0
828739300530904_4946372058767587,Home Lands,2021-01-27T00:30:00+0000,2021-01-27T00:30:03+0000,Great Location Premium Living Porshia Skyline Residencies - Nawala Ready for Occupation Call Us Now 071 5 238 238  Features _ Two Elevators _ Secured & Covered Parking And Service Facilities _ Roof Top Garden _ Roof Top BBQ Pavilion _ Infinity Swimming Pool _ Fully Equipped Modern Gym _ Multi-Function Hall _ 24 Hour Security With CCTV Cameras _ Fully Backup Generator  Interest Free Payment Plan Price Starting From 25M Loan Facility Can Be Arranged Up To 70% More Details - 071 5 238 238 www.homelandsskyline.lk,,0,7,7,0,0,0,0,0
828739300530904_4946370275434432,Home Lands,2021-01-25T00:30:00+0000,2021-01-25T00:30:03+0000,Great Location Premium Living Porshia Skyline Residencies - Nawala Ready for Occupation Call Us Now 071 5 238 238  Features _ Two Elevators _ Secured & Covered Parking And Service Facilities _ Roof Top Garden _ Roof Top BBQ Pavilion _ Infinity Swimming Pool _ Fully Equipped Modern Gym _ Multi-Function Hall _ 24 Hour Security With CCTV Cameras _ Fully Backup Generator  Interest Free Payment Plan Price Starting From 25M Loan Facility Can Be Arranged Up To 70% More Details - 071 5 238 238 www.homelandsskyline.lk,,0,7,6,1,0,0,0,0
828739300530904_4955889791149147,Home Lands,2021-01-23T00:30:01+0000,2021-01-23T00:30:04+0000,"_______ ____ ______________ ____ ________ _____________ ____ ________ ____ __________ Infinity Swimming Pool ___ _________. ___ _____ __________ _________ _______ ________ ____ _________ _______,________ _______ ______________ ___________ Aurum Skyline ______________ ___________ ___________________. __________ _______ _______ __________!  _________ ___ _____ 2, 3BR Apartment _ Royal Collage 1.5KM _ Visaka Vidyalaya 0.9KM _ Sirimavo Bandaranayake Vidyalaya 0.5KM _ Wycherley international 1KM _ The British School 1.8KM  _________ _______: Rs. 1 Mn, _____ ____ ____ _______ ______ _________. ______ _____________ __________ – 071 7 888 222",,0,5,5,0,0,0,0,0
828739300530904_4946368582101268,Home Lands,2021-01-23T00:30:01+0000,2021-01-23T00:30:04+0000,Great Location Premium Living Porshia Skyline Residencies - Nawala Ready for Occupation Call Us Now 071 5 238 238  Features _ Two Elevators _ Secured & Covered Parking And Service Facilities _ Roof Top Garden _ Roof Top BBQ Pavilion _ Infinity Swimming Pool _ Fully Equipped Modern Gym _ Multi-Function Hall _ 24 Hour Security With CCTV Cameras _ Fully Backup Generator  Interest Free Payment Plan Price Starting From 25M Loan Facility Can Be Arranged Up To 70% More Details - 071 5 238 238 www.homelandsskyline.lk,2,0,4,4,0,0,0,0,0
828739300530904_4959764894094970,Home Lands,2021-01-21T06:47:02+0000,2021-01-21T06:47:02+0000,"Read more on how Homelands Holding (Pvt.) Ltd. and Homelands Skyline (Pvt.) Ltd., the first company in Sri Lanka to receive the highest grading from CIDA for the first time in Sri Lanka here: https://www.homelandsskyline.lk/homelands-holding-pvt-ltd-and-homelands-skyline-pvt-ltd-the-first-company-in-sri-lanka-to-receive-the-highest-grading-from-cida-for-the-first-time-in-sri-lanka/",,0,7,6,1,0,0,0,0
828739300530904_4946366098768183,Home Lands,2021-01-21T00:30:00+0000,2021-01-21T00:30:03+0000,Great Location Premium Living Porshia Skyline Residencies - Nawala Ready for Occupation Call Us Now 071 5 238 238  Features _ Two Elevators _ Secured & Covered Parking And Service Facilities _ Roof Top Garden _ Roof Top BBQ Pavilion _ Infinity Swimming Pool _ Fully Equipped Modern Gym _ Multi-Function Hall _ 24 Hour Security With CCTV Cameras _ Fully Backup Generator  Interest Free Payment Plan Price Starting From 25M Loan Facility Can Be Arranged Up To 70% More Details - 071 5 238 238 www.homelandsskyline.lk,1,0,8,8,0,0,0,0,0
828739300530904_4954801547924638,Home Lands,2021-01-20T03:00:35+0000,2021-01-20T03:00:35+0000,"Enjoy looking across the Colombo skyline while you relax at our rooftop garden or take a dip in the rooftop infinity pool. When you invest in a location like this you invest in absolute convenience, luxury and elegance with Aurum Skyline Residencies, Jawatta  Within the leading school circle of Colombo. Model Apartment Ready For Your Inspection. Call us for more details – 071 5 238 238  2,3BR apartment with maid's room _ Royal Collage 1.5KM _ Visaka Vidyalaya 0.9KM _ Sirimavo Bandaranayake Vidyalaya 0.5KM _ Wycherley international 1KM _ The British School 1.8KM   Reservation Fee: Rs. 1M, Bank loan facility can be arranged  For more details 071 5 238 238",,0,10,10,0,0,0,0,0
828739300530904_4894656670605793,Home Lands,2021-01-19T06:28:01+0000,2021-01-19T06:28:05+0000,"South Asia’s 1st Victorian Style Golf Resort Apartments, “Canterbury Golf Resort Apartments & Residencies” Piliyandala - Kahathuduwa By Home Lands. Model Apartment Ready For Your Inspection. Call Us Now 071 0 444 111 Features _ Living & Dining _ Lobby _ Pantry _ 3 Bedrooms 2 Bathrooms _ Maid's Room & Toilet _ Balconies _ One Parking Lot __ A New Way Of Living Combined With Golf & Health Care __ Common Features __ Nine Hole Golf Course __ 05 Minutes To Southern Expressway __ 20 Minutes To Colombo City Limits __ 4 Way Lanes Up To Colombo City Limits __ Victorian Style Architecture __ Pet Friendly __ Free Tree Plantation __ MANY MORE ACTIVITIES Interest Free Payment Plan Loan Facility Can Be Arranged Up To 70%  More Details - 071 0 444 111 www.homelandsskyline.lk",,1,7,6,1,0,0,0,0
